Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,CRSElapsedTime,Origin,Dest,Distance,ArrDelay15,Origin_Lat,Origin_Lon,Origin_State,Dest_Lat,Dest_Lon,Dest_State,Origin_dayl,Dest_dayl,Origin_prcp,Dest_prcp,Origin_srad,Dest_srad,Origin_swe,Dest_swe,Origin_tmax,Dest_tmax,Origin_tmin,Dest_tmin,Origin_vp,Dest_vp
3,14,5,915,1020,MQ,65,DFW,LBB,282,False,32.89595056,-97.0372,TX,33.66363889,-101.8227778,TX,42163.2,42163.2,0.0,0.0,470.4,438.4,0.0,0.0,27.5,22.5,8.5,4.5,960.0,320.0
4,14,1,1500,1610,MQ,70,DFW,AMA,313,False,32.89595056,-97.0372,TX,35.2193725,-101.7059272,TX,46310.4,46310.4,0.0,0.0,528.0,534.4,0.0,0.0,19.5,20.0,3.0,-0.5,760.0,200.0
7,27,7,845,1020,AA,215,DFW,SFO,1464,True,32.89595056,-97.0372,TX,37.61900194,-122.3748433,CA,49420.8,50457.6,0.0,0.0,438.4,425.6,0.0,0.0,39.5,19.5,26.0,12.0,2320.0,520.0
2,29,5,1100,1200,MQ,60,DFW,LAW,140,False,32.89595056,-97.0372,TX,34.56771444,-98.41663667,OK,40435.2,40435.2,0.0,0.0,352.0,425.6,0.0,0.0,23.0,22.5,10.0,2.0,880.0,480.0
11,23,7,755,905,MQ,70,DFW,HOU,247,False,32.89595056,-97.0372,TX,29.64541861,-95.27888889,TX,36288.0,36979.2,0.0,0.0,211.2,281.6,0.0,0.0,19.0,23.0,9.5,11.0,1200.0,1320.0
6,2,1,2120,2215,MQ,55,DFW,SHV,190,False,32.89595056,-97.0372,TX,32.4466275,-93.82559833,LA,50457.6,50457.6,0.0,0.0,396.8,380.8,0.0,0.0,34.0,33.0,23.0,22.5,2800.0,2720.0
5,17,6,1250,1630,AA,160,DFW,DTW,987,False,32.89595056,-97.0372,TX,42.21205889,-83.34883583,MI,49420.8,52185.6,0.0,0.0,476.8,444.8,0.0,0.0,28.5,22.0,15.0,9.5,1720.0,1120.0
11,1,6,1920,2245,MQ,145,DFW,CAE,922,True,32.89595056,-97.0372,TX,33.93884,-81.11953944,SC,38016.0,38016.0,0.0,0.0,316.8,380.8,0.0,0.0,28.5,21.0,14.0,0.5,1600.0,640.0
7,11,5,1430,1515,AA,105,DFW,ABQ,569,True,32.89595056,-97.0372,TX,35.04022222,-106.6091944,NM,50457.6,51148.8,0.0,2.0,406.4,364.8,0.0,0.0,36.5,27.5,24.5,16.5,2640.0,720.0
8,16,6,1125,1215,AA,110,DFW,DEN,641,True,32.89595056,-97.0372,TX,39.85840806,-104.6670019,CO,47347.2,48729.6,6.0,23.0,262.4,102.4,0.0,0.0,29.5,14.0,20.0,10.0,2120.0,1240.0
